,name,id_prod_company,id
261,Jim Henson Productions,2504,10874
262,"Jim Henson Company, The",6254,10874
263,Icon Entertainment International,4564,197
264,The Ladd Company,7965,197
265,B.H. Finance C.V.,11353,197
266,Columbia Pictures Corporation,441,103
267,Italo/Judeo Productions,46059,103
268,Bill/Phillips,46060,103
269,New Line Cinema,12,33542
270,Golden Harvest Company,2521,33542
271,Caravan Pictures,175,43566
272,Hollywood Pictures,915,43566
273,Téléfilm Canada,806,71754
274,Skyline Films,2055,71754
275,Malofilm,3498,71754
276,Société de Développement des Entreprises Culturelles (SODEC),9116,71754
277,British Screen Productions,12745,71754
278,National Film Board of Canada (NFB),17027,71754
279,imX Communications,22150,71754
280,Glace Bay Pictures,38673,71754
281,Ciné Télé Action,38674,71754
282,Nova Scotia Film Development Corporation,40534,71754
283,Ranfilm,85045,71754
284,France 2 Cinéma,83,43612
285,France 3 Cinéma,591,43612
286,StudioCanal,694,43612
287,Les Productions du Champ Poirier,883,43612
288,Téléma Productions,885,43612
289,Bavaria Film and Television Fund,3236,16934
290,TriStar Pictures,559,10324
291,Motion Picture Corporation of America (MPCA),11061,10324
292,Savoy Pictures,11308,78406
293,TriStar Pictures,559,55731
294,Paramount Pictures,4,11066
295,Jet Tone Production,540,11104
296,The Criterion Collection,10932,11104
297,Cecchi Gori Group Tiger Cinematografica,371,37975
298,Miramax Films,14,2074
299,Studio Babelsberg,264,27793
300,Dieter Geissler Filmproduktion,1766,27793
301,Cinevox Filmproduktion GmbH,1979,27793
302,Warner Bros.,6194,27793
303,Miramax,53009,27793
304,Canal Horizons,22029,44284
305,Mat Films,22618,44284
306,Cinétéléfilms,71842,44284
307,Fine Line Features,8,73067
308,Channel Four Films,181,73067
309,Bórd Scannán na hÉireann,1898,73067
310,Canal+,5358,73067
311,Paramount Pictures,4,11863
312,Cigua Films,93488,55475
313,DPelicula,93489,55475
314,Twentieth Century Fox Film Corporation,306,9101
315,Couch Potatoe Productions,68229,123360
316,Channel Four Films,181,39428
317,Academy,38778,39428
318,Mayfair Films,94477,39428
319,Iberoamerica Films,94478,39428
320,Cinergi Pictures Entertainment,1504,9302
321,Touchstone Pictures,9195,9302
322,United Artists,60,11000
323,Fox Searchlight Pictures,43,16388
324,Columbia Pictures,5,9737
325,Don Simpson/Jerry Bruckheimer Films,10288,9737
326,Warner Bros.,6194,30765
327,New Line Cinema,12,10474
328,Island Pictures,3492,10474
329,Fine Line Features,8,22279
330,BBC,5996,22279
331,British Screen Productions,12745,22279
332,Portman Productions,16027,22279
333,Channel Four Films,181,30157
334,Zenith Entertainment,3644,30157
335,American Playhouse,3906,30157
336,Union Générale Cinématographique (UGC),7248,30157
337,La Sept Cinéma,16366,30157
338,True Fiction Pictures,37909,30157
339,Imagine Entertainment,23,568
340,Universal Pictures,33,568
341,United Artists,60,11780
342,Talisman Productions,8989,11780
343,October Films,236,34996
344,Guild,1214,34996
345,Fastnet Films,5353,34996
